Nombre de la observacion,ID de la observacion,Nombre cientifico,ID del taxon,Fecha de la observacion,Fecha de creacion,Nombre de usuario,ID de usuario,Longitud,Latitud,Lugar de la observacion,Link a la página de Minka
Gavina corsa,423902,Ichthyaetus audouinii,158468,2025/03/03 12:41 PM,2025-03-06,mediambient_ajelprat,15,2.0971045169,41.2841159027,Pineda de can Camins,https://minka-sdg.org/observations/423902
Barqueta de Sant Pere,423901,Velella velella,253561,2025/03/03 10:48 AM,2025-03-06,mediambient_ajelprat,15,2.0864103975,41.2805112091,Platja de la Roberta,https://minka-sdg.org/observations/423901
Gafarró,423893,Serinus serinus,249670,2025/02/27 11:36 AM,2025-03-06,mediambient_ajelprat,15,2.124718812,41.2962531784,Desembocadura de la Bunyola,https://minka-sdg.org/observations/423893
Serp verda,423892,Malpolon monspessulanus,245783,2025/02/27 11:39 AM,2025-03-06,mediambient_ajelprat,15,2.124718812,41.2962531784,Desembocadura de la Bunyola,https://minka-sdg.org/observations/423892
Corriol camanegre,423880,Charadrius alexandrinus,250490,2025/02/26 12:11 PM,2025-03-06,mediambient_ajelprat,15,2.081797114,41.2791486027,Platja del Remolar,https://minka-sdg.org/observations/423880
evening primroses,423874,Oenothera,36347,2025/02/21 12:00 PM,2025-03-06,mediambient_ajelprat,15,2.0808093243,41.2788266509,Platja del Remolar,https://minka-sdg.org/observations/423874
Gavià argentat de potes grogues,423611,Larus michahellis,243187,2025/03/03 8:11 AM,2025-03-05,amb_platges,1239,2.0353121613,41.2687123531,"Barcelona, España",https://minka-sdg.org/observations/423611
Western Montpellier Snake,422888,Malpolon monspessulanus,245783,2025/02/26 12:27 PM,2025-03-03,amb_platges,1239,2.0955,41.2839277778,"Barcelona, España",https://minka-sdg.org/observations/422888
Green Iberian Wall Lizard,422887,Podarcis hispanicus,242764,2025/02/26 12:13 PM,2025-03-03,amb_platges,1239,2.2765111111,41.4643666667,"Barcelona, España",https://minka-sdg.org/observations/422887
Glossy Ibis,421185,Plegadis falcinellus,242634,2025/02/24 11:03 AM,2025-02-24,mediambient_ajelprat,15,2.0854266287,41.2804808956,Platja de la Roberta,https://minka-sdg.org/observations/421185
