month,observations,observers,identifiers,species
2022-01,0,0,0,0
2022-02,0,0,0,0
2022-03,0,0,0,0
2022-04,0,0,0,0
2022-05,0,0,0,0
2022-06,96,4,9,41
2022-07,32,5,6,12
2022-08,146,6,7,46
2022-09,146,8,8,55
2022-10,87,3,12,58
2022-11,115,2,10,74
2022-12,47,3,7,38
2023-01,57,4,7,37
2023-02,46,2,8,34
2023-03,63,5,9,48
2023-04,79,5,12,53
2023-05,95,9,12,67
2023-06,43,2,9,34
2023-07,242,13,17,97
2023-08,233,8,12,83
2023-09,256,10,17,94
2023-10,213,11,17,90
2023-11,309,4,11,87
2023-12,89,4,15,44
2024-01,170,13,19,71
2024-02,191,5,14,93
2024-03,342,21,19,108
2024-04,442,48,22,151
2024-05,374,30,18,117
2024-06,299,13,15,107
2024-07,232,8,16,97
2024-08,232,10,12,58
2024-09,153,12,10,100
2024-10,154,5,12,87
2024-11,79,3,7,47
2024-12,121,6,6,64
2025-01,75,6,10,44
2025-02,44,2,4,27
2025-03,74,2,6,47
2025-04,273,10,12,113
2025-05,4,3,1,2
