taxon_name,observed_on,user_login,photos_medium_url,attribution,obs_url
Streptopelia turtur,2025-05-13,mediambient_ajelprat,https://minka-sdg.org/attachments/local_photos/files/613686/medium.jpeg,"(c) mediambient_ajelprat, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/455105
Matthiola incana,2025-05-13,amb_platges,https://minka-sdg.org/attachments/local_photos/files/612871/medium.jpeg,"(c) AMB Platges, some rights reserved (CC BY)",https://minka-sdg.org/observations/454457
Petrosedum sediforme,2025-05-15,amb_platges,https://minka-sdg.org/attachments/local_photos/files/613160/medium.jpeg,"(c) AMB Platges, some rights reserved (CC BY)",https://minka-sdg.org/observations/454767
Otala punctata,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620772/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460169
Beosus maritimus,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620773/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460170
Elaeagnus angustifolia,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620743/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460147
Euchloe crameri,2025-05-26,amb_platges,https://minka-sdg.org/attachments/local_photos/files/621376/medium.jpeg,"(c) AMB Platges, some rights reserved (CC BY)",https://minka-sdg.org/observations/460659
Euodynerus variegatus,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620779/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460174
Plutella xylostella,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620793/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460183
Metrosideros excelsa,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620797/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460186
Philanthus triangulum,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620801/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460191
Eatoniana plumipes,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620739/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460145
Lysimachia arvensis,2025-05-26,cris1954,https://minka-sdg.org/attachments/local_photos/files/620620/medium.jpg,"(c) cris1954, some rights reserved (CC BY)",https://minka-sdg.org/observations/460007
Dicranocephalus albipes,2025-05-26,xasalva,https://minka-sdg.org/attachments/local_photos/files/620722/medium.jpeg,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",https://minka-sdg.org/observations/460130
