id,created_at,updated_at,observed_on,observed_on_time,iconic_taxon,taxon_id,taxon_rank,taxon_name,latitude,longitude,obscured,place_name,quality_grade,user_id,user_login,license_obs,identifications_count,identifiers,num_identification_agreements,num_identification_disagreements,device,kingdom,phylum,class,order,family,genus
489330,2025-06-04,2025-06-05,2025-06-04,10:30:00,plantae,90169,species,Calystegia soldanella,41.2838106102,2.0948294772,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Calystegia
489329,2025-06-04,2025-06-05,2025-06-04,10:31:00,plantae,264401,species,Marcus-kochia littorea,41.2835123895,2.0937299537,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Plantae,Tracheophyta,Magnoliopsida,Capparales,Brassicaceae,Marcus-kochia
489328,2025-06-04,2025-06-05,2025-06-04,10:28:00,plantae,35545,genus,Rubus,41.2837501602,2.094513029,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,
489325,2025-06-04,2025-06-05,2025-06-04,10:27:00,plantae,258628,species,Lysimachia arvensis,41.2838630002,2.0949099301,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Plantae,Tracheophyta,Magnoliopsida,Primulales,Primulaceae,Lysimachia
489324,2025-06-04,2025-06-05,2025-06-04,10:26:00,plantae,248008,species,Cakile maritima,41.2843586769,2.0965028769,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Plantae,Tracheophyta,Magnoliopsida,Capparales,Brassicaceae,Cakile
489322,2025-06-04,2025-06-04,2025-06-04,10:22:00,insecta,245113,species,Anoxia australis,41.2841974639,2.0960040367,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, jaume-piera",1,0,web,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Anoxia
489321,2025-06-04,2025-06-04,2025-06-04,10:06:00,reptilia,254136,species,Podarcis liolepis,41.2841571674,2.0958914141,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, jaume-piera",1,0,web,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis
489320,2025-06-04,2025-06-05,2025-06-04,10:04:00,insecta,220050,species,Zygaena trifolii,41.284173261,2.0958645582,False,Spain,research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena
489319,2025-06-04,2025-06-05,2025-06-04,10:00:00,insecta,251680,species,Tituboea sexmaculata,41.2839516119,2.0954783842,False,Spain,research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Tituboea
489318,2025-06-04,2025-06-05,2025-06-04,10:00:00,insecta,18971,genus,Anisoplia,41.2839878818,2.0955159289,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Animalia,Arthropoda,Insecta,Coleoptera,Rutelidae,
489317,2025-06-04,2025-06-04,2025-06-04,09:59:00,insecta,251680,species,Tituboea sexmaculata,41.2839919293,2.0955374852,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, jaume-piera",1,0,web,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Tituboea
489316,2025-06-04,2025-06-05,2025-06-04,09:45:00,insecta,245274,species,Anthophora bimaculata,41.2840039754,2.0954193196,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Anthophora
489315,2025-06-04,2025-06-04,2025-06-04,09:35:00,insecta,252125,species,Hyles euphorbiae,41.2838145635,2.0947274243,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, jaume-piera",1,0,web,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles
489314,2025-06-04,2025-06-05,2025-06-04,09:33:00,plantae,221647,species,Paronychia argentea,41.2837944015,2.09474885,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Paronychia
489313,2025-06-04,2025-06-04,2025-06-04,09:32:00,insecta,220050,species,Zygaena trifolii,41.2836654413,2.0943197677,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, albertvim",1,0,web,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena
489312,2025-06-04,2025-06-04,2025-06-04,09:31:00,insecta,252125,species,Hyles euphorbiae,41.2836775314,2.0943519488,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, jaume-piera",1,0,web,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles
489311,2025-06-04,2025-06-05,2025-06-04,07:35:00,insecta,159939,species,Polyommatus icarus,41.2836614146,2.0942607804,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus
489310,2025-06-04,2025-06-05,2025-06-04,10:33:00,plantae,90169,species,Calystegia soldanella,41.2837057425,2.0944002313,False,"Barcelona, España",research,4,xasalva,cc-by-nc,1,"xasalva, loreto_rodriguez",1,0,web,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Calystegia
489248,2025-06-04,2025-06-04,2025-06-04,10:00:00,insecta,245113,species,Anoxia australis,41.2841344,2.0957096,False,Spain,research,817,marinatorresgi,cc-by-nc,2,"xasalva, jaume-piera",2,0,app,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Anoxia
489247,2025-06-04,2025-06-05,2025-06-04,09:47:00,insecta,251680,species,Tituboea sexmaculata,41.28396,2.0955733,False,Spain,research,13319,laia_raurich,cc-by,2,"xasalva, loreto_rodriguez",2,0,app,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Tituboea
489246,2025-06-04,2025-06-05,2025-06-04,09:43:00,insecta,249075,species,Nezara viridula,41.28396,2.0955732,False,Spain,research,13319,laia_raurich,cc-by,2,"xasalva, loreto_rodriguez",2,0,app,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Nezara
489245,2025-06-04,2025-06-04,2025-06-04,09:44:00,insecta,252243,species,Colias croceus,41.2840178,2.0954933,False,Spain,research,16862,martasj13,cc-by,1,"martasj13, xasalva",1,0,app,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias
489244,2025-06-04,2025-06-04,2025-06-04,09:41:00,insecta,252125,species,Hyles euphorbiae,41.2839963,2.0953691,False,Spain,research,817,marinatorresgi,cc-by-nc,2,"jaume-piera, xasalva",2,0,app,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles
489243,2025-06-04,2025-06-04,2025-06-04,09:41:00,insecta,252125,species,Hyles euphorbiae,41.2839963,2.0953691,False,Spain,research,817,marinatorresgi,cc-by-nc,2,"jaume-piera, xasalva",2,0,app,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hyles
489242,2025-06-04,2025-06-05,2025-06-04,09:41:00,plantae,38160,genus,Allium,41.2839963,2.0953691,False,Spain,research,817,marinatorresgi,cc-by-nc,2,"xasalva, jaume-piera",2,0,app,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,
