id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
450052,606127,plantae,Matthiola,https://minka-sdg.org/attachments/local_photos/files/606127/medium.jpeg,crismc,41.4183525103,2.2324331837,cc-by,"(c) crismc, some rights reserved (CC BY)",450052_606127.jpg
450052,606128,plantae,Matthiola,https://minka-sdg.org/attachments/local_photos/files/606128/medium.jpeg,crismc,41.4183525103,2.2324331837,cc-by,"(c) crismc, some rights reserved (CC BY)",450052_606128.jpg
450052,606129,plantae,Matthiola,https://minka-sdg.org/attachments/local_photos/files/606129/medium.jpeg,crismc,41.4183525103,2.2324331837,cc-by,"(c) crismc, some rights reserved (CC BY)",450052_606129.jpg
450051,606126,aves,Sturnus vulgaris,https://minka-sdg.org/attachments/local_photos/files/606126/medium.jpeg,crismc,41.4183655438,2.2324024879,cc-by,"(c) crismc, some rights reserved (CC BY)",450051_606126.jpg
450050,606125,plantae,Medicago marina,https://minka-sdg.org/attachments/local_photos/files/606125/medium.jpeg,crismc,41.4183618763,2.2324309928,cc-by,"(c) crismc, some rights reserved (CC BY)",450050_606125.jpg
450050,606124,plantae,Medicago marina,https://minka-sdg.org/attachments/local_photos/files/606124/medium.jpeg,crismc,41.4183618763,2.2324309928,cc-by,"(c) crismc, some rights reserved (CC BY)",450050_606124.jpg
450049,606123,plantae,Malva,https://minka-sdg.org/attachments/local_photos/files/606123/medium.jpeg,crismc,41.4187667577,2.2325166164,cc-by,"(c) crismc, some rights reserved (CC BY)",450049_606123.jpg
450048,606122,insecta,Oxythyrea funesta,https://minka-sdg.org/attachments/local_photos/files/606122/medium.jpeg,crismc,41.4187655566,2.2325169211,cc-by,"(c) crismc, some rights reserved (CC BY)",450048_606122.jpg
450047,606120,plantae,Paronychia argentea,https://minka-sdg.org/attachments/local_photos/files/606120/medium.jpeg,crismc,41.4183620341,2.2324286874,cc-by,"(c) crismc, some rights reserved (CC BY)",450047_606120.jpg
450046,606121,insecta,Pyrrhocoris apterus,https://minka-sdg.org/attachments/local_photos/files/606121/medium.jpeg,crismc,41.4187552212,2.2325194572,cc-by,"(c) crismc, some rights reserved (CC BY)",450046_606121.jpg
450045,606119,plantae,Cakile maritima,https://minka-sdg.org/attachments/local_photos/files/606119/medium.jpeg,crismc,41.4183385416,2.2324164822,cc-by,"(c) crismc, some rights reserved (CC BY)",450045_606119.jpg
