taxon_rank,taxon_name,count
kingdom,Animalia,3179
kingdom,Plantae,1400
kingdom,Chromista,115
kingdom,Fungi,7
phylum,Tracheophyta,1283
phylum,Arthropoda,886
phylum,Mollusca,874
phylum,Chordata,873
phylum,Cnidaria,327
phylum,Echinodermata,158
phylum,Ochrophyta,112
phylum,Rhodophyta,97
phylum,Bryozoa,38
phylum,Chlorophyta,20
phylum,Annelida,16
phylum,Porifera,7
phylum,Basidiomycota,6
phylum,Radiozoa,3
phylum,Zygomycota,1
class,Magnoliopsida,919
class,Aves,756
class,Insecta,701
class,Bivalvia,521
class,Liliopsida,354
class,Gastropoda,239
class,Echinoidea,140
class,Hydrozoa,126
class,Scyphozoa,120
class,Cephalopoda,114
class,Malacostraca,113
class,Phaeophyceae,112
class,Florideophyceae,97
class,Anthozoa,81
class,Thecostraca,58
class,Reptilia,52
class,Gymnolaemata,38
class,Elasmobranchii,27
class,Mammalia,25
class,Ulvophyceae,17
class,Polychaeta,16
class,Arachnida,14
class,Ascidiacea,13
class,Pinopsida,10
class,Holothuroidea,9
class,Asteroidea,9
class,Demospongiae,7
class,Agaricomycetes,6
class,Bryopsidophyceae,3
class,Polycystina,3
class,Mucoromycetes,1
order,Ciconiiformes,446
order,Passeriformes,242
order,Lepidoptera,236
order,Asterales,180
order,Cardiida,175
order,Venerida,168
order,Asparagales,150
order,Hymenoptera,149
order,Apiales,145
order,Poales,140
order,Capparales,114
order,Anthoathecata,114
order,Decapoda,108
order,Fabales,108
order,Neogastropoda,105
order,Caryophyllales,104
order,Orthoptera,103
order,Coleoptera,100
order,Dictyotales,90
order,Sepiida,88
order,Corallinales,86
order,Camarodonta,82
order,Actiniaria,69
order,Myrtales,65
order,Arcida,61
order,Rhizostomeae,61
order,Semaeostomeae,59
order,Alismatales,57
order,Mytilida,56
order,Solanales,55
order,Squamata,50
order,Patellogastropoda,49
order,Arbacioida,47
order,Hemiptera,41
order,Balanomorpha,41
order,Odonata,39
order,Littorinimorpha,33
order,Diptera,28
order,Cheilostomatida,27
order,Malpighiales,27
order,Adapedonta,26
order,Octopoda,22
order,Lamiales,20
order,Ulvales,17
order,Polygonales,17
order,Scalpellomorpha,17
order,Sabellida,16
order,Scytosiphonales,16
order,Carcharhiniformes,14
order,Stylommatophora,14
order,Ostreida,14
order,Columbiformes,13
order,Scrophulariales,13
order,Araneae,13
order,Anseriformes,12
order,Gruiformes,12
order,Scleractinia,11
order,Spatangoida,11
order,Violales,11
order,Pectinida,11
order,Ctenostomatida,11
order,Pinales,10
order,Bonnemaisoniales,10
order,Lagomorpha,10
order,Leptothecata,10
order,Rosales,10
order,Plantaginales,10
order,Rajiformes,10
order,Pteropoda,9
order,Ostreoida,9
order,Charadriiformes,8
order,Carnivora,8
order,Upupiformes,8
order,Cetacea,7
order,Holothuriida,7
